SN,ON_HOURS,NUM_OF_POWER_ONS,EXPECTED_MOTOR_ROTATIONS,SUPPOSED_MOTOR_ROTATIONS,ACTIVE_MILLING_HOURS,LCS_MAX,DAYS OFFLINE,DAYS SINCE VISIT,DAYS OFFLINE (LIVE),CATEGORY
19060345.0,9.98,1.0,11.0,11.0,0.26,15.0,63.0,83.0,72.0,Nontechnical
19060395.0,9.95,1.0,3.0,3.0,0.02,15.0,31.0,34.0,0.0,Technical
21050719.0,4.12,1.0,909.0,910.0,3.36,15.0,81.0,81.0,90.0,Nontechnical
19060427.0,1.39,1.0,68.0,929.0,1.34,15.0,43.0,65.0,2.0,Technical
21050582.0,1.61,1.0,958.0,959.0,1.24,15.0,51.0,69.0,15.0,Technical
21050716.0,0.12,1.0,82.0,82.0,0.09,13.0,83.0,83.0,92.0,Nontechnical
18040245.0,1.29,1.0,953.0,954.0,0.99,15.0,45.0,307.0,1.0,Technical
18040177.0,9.97,1.0,0.0,0.0,0.01,15.0,60.0,320.0,40.0,Technical
21110967.0,9.79,1.0,879.0,879.0,2.35,15.0,34.0,34.0,15.0,Technical
19060447.0,0.16,1.0,6.0,6.0,0.05,15.0,49.0,5.0,58.0,Nontechnical
21050822.0,4.92,1.0,969.0,969.0,4.74,15.0,70.0,41.0,5.0,Technical
21050582.0,6.96,1.0,934.0,936.0,3.7,15.0,56.0,58.0,65.0,Nontechnical
21050856.0,2.27,1.0,2117.0,22.0,1.91,15.0,51.0,74.0,0.0,Technical
19060347.0,8.5,1.0,4702.0,7.0,5.61,15.0,243.0,294.0,252.0,Nontechnical
19060416.0,5.68,1.0,959.0,947.0,2.94,15.0,31.0,31.0,0.0,Nontechnical
21110979.0,0.95,1.0,92.0,52.0,0.36,15.0,51.0,11.0,0.0,Technical
21050719.0,5.76,1.0,957.0,957.0,6.14,15.0,81.0,81.0,90.0,Nontechnical
19060395.0,3.73,1.0,800.0,801.0,2.74,15.0,31.0,34.0,0.0,Technical
18040296.0,0.85,1.0,50.0,50.0,0.71,15.0,31.0,32.0,2.0,Nontechnical
19060324.0,9.64,1.0,0.0,0.0,0.0,15.0,186.0,511.0,195.0,Technical
21110893.0,0.76,1.0,67.0,67.0,0.6,15.0,39.0,61.0,60.0,Technical
19060551.0,3.91,1.0,41.0,44.0,2.74,15.0,265.0,9.0,4.0,Nontechnical
21050651.0,1.14,1.0,7.0,7.0,0.33,15.0,48.0,122.0,6.0,Nontechnical
21050831.0,1.72,1.0,7.0,7.0,0.02,15.0,70.0,41.0,5.0,Technical
19060551.0,9.96,1.0,962.0,963.0,9.93,15.0,45.0,74.0,54.0,Nontechnical
21110979.0,2.56,1.0,91.0,927.0,1.0,15.0,51.0,11.0,0.0,Technical
19060382.0,2.3,1.0,923.0,923.0,2.17,15.0,187.0,84.0,196.0,Nontechnical
19060334.0,2.43,1.0,95.0,679.0,1.89,15.0,59.0,24.0,68.0,Nontechnical
19060450.0,0.42,1.0,501.0,501.0,0.37,15.0,263.0,577.0,272.0,Nontechnical
18040233.0,5.89,1.0,74.0,74.0,0.05,15.0,59.0,94.0,68.0,Nontechnical
21050601.0,7.44,1.0,1.0,0.0,0.0,15.0,60.0,61.0,1.0,Technical
19060496.0,6.8,1.0,915.0,917.0,6.57,15.0,44.0,83.0,53.0,Nontechnical
21050582.0,5.24,1.0,975.0,311.0,3.63,15.0,51.0,69.0,15.0,Technical
19060416.0,2.45,1.0,0.0,0.0,0.02,15.0,43.0,65.0,2.0,Technical
21111040.0,0.33,1.0,0.0,0.0,0.0,15.0,37.0,3.0,0.0,Technical
21050710.0,3.9,1.0,59.0,59.0,0.44,15.0,149.0,73.0,8.0,Technical
21110993.0,9.92,1.0,93.0,99.0,2.09,15.0,62.0,87.0,0.0,Technical
21050690.0,7.82,1.0,953.0,954.0,7.46,15.0,83.0,83.0,92.0,Nontechnical
21050719.0,9.84,1.0,3.0,3.0,9.7,15.0,79.0,100.0,5.0,Nontechnical
19060416.0,6.65,1.0,0.0,0.0,0.0,15.0,31.0,31.0,0.0,Nontechnical
18040181.0,7.54,1.0,982.0,982.0,5.59,15.0,31.0,40.0,40.0,Nontechnical
19060419.0,1.39,1.0,8.0,8.0,0.01,15.0,33.0,14.0,42.0,Technical
