,SN,ON_HOURS,NUM_OF_POWER_ONS,EXPECTED_MOTOR_ROTATIONS,SUPPOSED_MOTOR_ROTATIONS,ACTIVE_MILLING_HOURS,DAYS OFFLINE,DAYS SINCE VISIT,CATEGORY
12519,21050654,1.64,1.0,71.0,71.0,0.74,145.0,343.0,Nontechnical
12520,21050710,0.53,1.0,68.0,68.0,0.5,149.0,73.0,Technical
12521,19060416,6.55,1.0,973.0,973.0,5.82,31.0,34.0,Technical
12522,18040304,9.37,1.0,979.0,980.0,3.68,46.0,46.0,Nontechnical
12523,19060551,7.12,1.0,80.0,81.0,4.56,265.0,9.0,Nontechnical
12524,21050719,4.32,1.0,9.0,8178.0,6.1,81.0,81.0,Nontechnical
12525,19060563,5.0,1.0,983.0,984.0,9.97,220.0,4.0,Technical
12526,18040271,0.24,1.0,46.0,46.0,0.22,39.0,349.0,Technical
12527,21050601,4.26,1.0,977.0,977.0,3.69,60.0,61.0,Technical
12528,21050719,2.98,1.0,7.0,7.0,0.03,71.0,76.0,Nontechnical
12529,21111007,5.58,1.0,61.0,61.0,4.68,68.0,240.0,Technical
12530,21050719,9.13,1.0,925.0,925.0,5.65,81.0,81.0,Nontechnical
12531,18040304,2.58,1.0,973.0,938.0,2.41,35.0,89.0,Nontechnical
12532,18040255,1.27,1.0,0.0,0.0,0.0,45.0,307.0,Technical
12533,19060390,8.22,1.0,0.0,0.0,0.0,187.0,84.0,Nontechnical
12534,18040304,0.61,1.0,222.0,244.0,0.48,61.0,81.0,Nontechnical
12535,19060572,2.89,1.0,989.0,989.0,1.34,270.0,511.0,Technical
12536,18040234,7.66,1.0,990.0,996.0,6.7,91.0,95.0,Nontechnical
12537,18040274,0.58,1.0,0.0,0.0,0.0,158.0,206.0,Technical
12538,18040233,8.23,1.0,943.0,943.0,3.9,91.0,95.0,Nontechnical
12539,21110977,3.09,1.0,541.0,540.0,0.83,34.0,34.0,Technical
12540,19060551,9.93,1.0,79.0,79.0,0.63,45.0,74.0,Nontechnical
12541,19060347,9.95,1.0,945.0,960.0,2.38,243.0,294.0,Nontechnical
12542,19060413,9.98,1.0,0.0,0.0,0.0,31.0,34.0,Technical
12543,18040215,8.86,1.0,0.0,0.0,0.0,154.0,74.0,Nontechnical
12544,21050831,9.94,1.0,5.0,5.0,0.08,70.0,41.0,Technical
